event,team_a,team_h,kickoff_time
27,Crystal Palace,Tottenham,2021-03-06T15:00:00Z
27,Newcastle utd,West Brom,2021-03-06T15:00:00Z
27,Leeds Utd,West Ham Utd,2021-03-06T15:00:00Z
28,Tottenham,Arsenal,2021-03-13T15:00:00Z
28,West Brom,Crystal Palace,2021-03-13T15:00:00Z
28,Burnley,Everton,2021-03-13T15:00:00Z
28,Manchester City,Fulham,2021-03-13T15:00:00Z
28,Chelsea,Leeds Utd,2021-03-13T15:00:00Z
28,Sheffield Utd,Leicester City,2021-03-13T15:00:00Z
28,West Ham Utd,Manchester Utd,2021-03-13T15:00:00Z
28,Aston Villa,Newcastle utd,2021-03-13T15:00:00Z
28,Brighton,Southampton,2021-03-13T15:00:00Z
28,Liverpool,Wolverhampton,2021-03-13T15:00:00Z
29,Newcastle utd,Brighton,2021-03-20T15:00:00Z
29,Leicester City,Burnley,2021-03-20T15:00:00Z
29,Manchester Utd,Crystal Palace,2021-03-20T15:00:00Z
29,Leeds Utd,Fulham,2021-03-20T15:00:00Z
29,Chelsea,Liverpool,2021-03-20T15:00:00Z
29,Wolverhampton,Manchester City,2021-03-20T15:00:00Z
29,Aston Villa,Sheffield Utd,2021-03-20T15:00:00Z
29,Southampton,Tottenham,2021-03-20T15:00:00Z
29,Everton,West Brom,2021-03-20T15:00:00Z
29,Arsenal,West Ham Utd,2021-03-20T15:00:00Z
30,Liverpool,Arsenal,2021-04-03T14:00:00Z
30,Fulham,Aston Villa,2021-04-03T14:00:00Z
30,West Brom,Chelsea,2021-04-03T14:00:00Z
30,Crystal Palace,Everton,2021-04-03T14:00:00Z
30,Sheffield Utd,Leeds Utd,2021-04-03T14:00:00Z
30,Manchester City,Leicester City,2021-04-03T14:00:00Z
30,Brighton,Manchester Utd,2021-04-03T14:00:00Z
30,Tottenham,Newcastle utd,2021-04-03T14:00:00Z
30,Burnley,Southampton,2021-04-03T14:00:00Z
30,West Ham Utd,Wolverhampton,2021-04-03T14:00:00Z
31,Everton,Brighton,2021-04-10T14:00:00Z
31,Newcastle utd,Burnley,2021-04-10T14:00:00Z
31,Chelsea,Crystal Palace,2021-04-10T14:00:00Z
31,Wolverhampton,Fulham,2021-04-10T14:00:00Z
31,Aston Villa,Liverpool,2021-04-10T14:00:00Z
31,Leeds Utd,Manchester City,2021-04-10T14:00:00Z
31,Arsenal,Sheffield Utd,2021-04-10T14:00:00Z
31,Manchester Utd,Tottenham,2021-04-10T14:00:00Z
31,Southampton,West Brom,2021-04-10T14:00:00Z
31,Leicester City,West Ham Utd,2021-04-10T14:00:00Z
32,Fulham,Arsenal,2021-04-17T14:00:00Z
32,Manchester City,Aston Villa,2021-04-17T14:00:00Z
32,Brighton,Chelsea,2021-04-17T14:00:00Z
32,Tottenham,Everton,2021-04-17T14:00:00Z
32,Liverpool,Leeds Utd,2021-04-17T14:00:00Z
32,West Brom,Leicester City,2021-04-17T14:00:00Z
32,Burnley,Manchester Utd,2021-04-17T14:00:00Z
32,West Ham Utd,Newcastle utd,2021-04-17T14:00:00Z
32,Crystal Palace,Southampton,2021-04-17T14:00:00Z
32,Sheffield Utd,Wolverhampton,2021-04-17T14:00:00Z
33,Everton,Arsenal,2021-04-24T14:00:00Z
33,West Brom,Aston Villa,2021-04-24T14:00:00Z
33,Tottenham,Fulham,2021-04-24T14:00:00Z
33,Manchester Utd,Leeds Utd,2021-04-24T14:00:00Z
33,Crystal Palace,Leicester City,2021-04-24T14:00:00Z
33,Newcastle utd,Liverpool,2021-04-24T14:00:00Z
33,Southampton,Manchester City,2021-04-24T14:00:00Z
33,Brighton,Sheffield Utd,2021-04-24T14:00:00Z
33,Chelsea,West Ham Utd,2021-04-24T14:00:00Z
33,Burnley,Wolverhampton,2021-04-24T14:00:00Z
34,Leeds Utd,Brighton,2021-05-01T14:00:00Z
34,West Ham Utd,Burnley,2021-05-01T14:00:00Z
34,Fulham,Chelsea,2021-05-01T14:00:00Z
34,Manchester City,Crystal Palace,2021-05-01T14:00:00Z
34,Aston Villa,Everton,2021-05-01T14:00:00Z
34,Liverpool,Manchester Utd,2021-05-01T14:00:00Z
34,Arsenal,Newcastle utd,2021-05-01T14:00:00Z
34,Leicester City,Southampton,2021-05-01T14:00:00Z
34,Sheffield Utd,Tottenham,2021-05-01T14:00:00Z
34,Wolverhampton,West Brom,2021-05-01T14:00:00Z
35,West Brom,Arsenal,2021-05-08T14:00:00Z
35,Manchester Utd,Aston Villa,2021-05-08T14:00:00Z
35,Burnley,Fulham,2021-05-08T14:00:00Z
35,Tottenham,Leeds Utd,2021-05-08T14:00:00Z
35,Newcastle utd,Leicester City,2021-05-08T14:00:00Z
35,Southampton,Liverpool,2021-05-08T14:00:00Z
35,Chelsea,Manchester City,2021-05-08T14:00:00Z
35,Crystal Palace,Sheffield Utd,2021-05-08T14:00:00Z
35,Everton,West Ham Utd,2021-05-08T14:00:00Z
35,Brighton,Wolverhampton,2021-05-08T14:00:00Z
36,West Ham Utd,Brighton,2021-05-11T18:45:00Z
36,Leeds Utd,Burnley,2021-05-11T18:45:00Z
36,Sheffield Utd,Everton,2021-05-11T18:45:00Z
36,Leicester City,Manchester Utd,2021-05-11T19:00:00Z
36,Liverpool,West Brom,2021-05-11T19:00:00Z
36,Arsenal,Chelsea,2021-05-12T18:45:00Z
36,Manchester City,Newcastle utd,2021-05-12T18:45:00Z
36,Fulham,Southampton,2021-05-12T18:45:00Z
36,Wolverhampton,Tottenham,2021-05-12T18:45:00Z
36,Aston Villa,Crystal Palace,2021-05-12T19:00:00Z
37,Manchester City,Brighton,2021-05-15T14:00:00Z
37,Liverpool,Burnley,2021-05-15T14:00:00Z
37,Leicester City,Chelsea,2021-05-15T14:00:00Z
37,Arsenal,Crystal Palace,2021-05-15T14:00:00Z
37,Wolverhampton,Everton,2021-05-15T14:00:00Z
37,Fulham,Manchester Utd,2021-05-15T14:00:00Z
37,Sheffield Utd,Newcastle utd,2021-05-15T14:00:00Z
37,Leeds Utd,Southampton,2021-05-15T14:00:00Z
37,Aston Villa,Tottenham,2021-05-15T14:00:00Z
37,West Ham Utd,West Brom,2021-05-15T14:00:00Z
38,Brighton,Arsenal,2021-05-23T15:00:00Z
38,Chelsea,Aston Villa,2021-05-23T15:00:00Z
38,Newcastle utd,Fulham,2021-05-23T15:00:00Z
38,West Brom,Leeds Utd,2021-05-23T15:00:00Z
38,Tottenham,Leicester City,2021-05-23T15:00:00Z
38,Crystal Palace,Liverpool,2021-05-23T15:00:00Z
38,Everton,Manchester City,2021-05-23T15:00:00Z
38,Burnley,Sheffield Utd,2021-05-23T15:00:00Z
38,Southampton,West Ham Utd,2021-05-23T15:00:00Z
38,Manchester Utd,Wolverhampton,2021-05-23T15:00:00Z
